Tag MAC,Frequency,Polynomial,Inverse,Required Power @15mV (dBm),Required Power @40mV (dBm)
58_E6_C5_00_FE_C8,775,"[0.3703467472943569, 2.6404762994895465, -39.10664313603137]","[-0.0021876969678534842, 0.08563812806582381, 7.054379275333519]",-29.240149598539375,-24.326628184986813
58_E6_C5_00_FE_C8,785,"[0.39599708610752976, 2.395655403333285, -39.271609762257334]","[-0.0022793589192887536, 0.08005628437922913, 7.105749919247017]",-29.87999582151492,-25.04566409323662
58_E6_C5_00_FE_C8,795,"[0.42539522746156144, 2.105828700472013, -39.339827534199436]","[-0.0023851019241705354, 0.07388678596912182, 7.1548200631851975]",-30.517486529656523,-25.78297267692532
58_E6_C5_00_FE_C8,805,"[0.45430865206745474, 1.810110822173934, -39.378768540506066]","[-0.002475753110964857, 0.06821841964097647, 7.207836203518311]",-31.1452087586588,-26.519332274903405
58_E6_C5_00_FE_C8,815,"[0.48353148793274425, 1.4964693451382192, -39.344925206246124]","[-0.0025615737462391527, 0.06281995711686988, 7.2638739059752675]",-31.746415573684363,-27.244815111120616
58_E6_C5_00_FE_C8,825,"[0.5166522671295917, 1.1342721491022345, -39.19035506264241]","[-0.00265904460121413, 0.05687263615942935, 7.316339304639316]",-32.32980119664374,-27.975644775646508
58_E6_C5_00_FE_C8,835,"[0.548351441289679, 0.7540248331166329, -38.90787579461634]","[-0.002775212637131156, 0.050709063751401974, 7.371670002451524]",-32.84458371770113,-28.664494994356787
58_E6_C5_00_FE_C8,845,"[0.5727184348395045, 0.4073628082563774, -38.56711319196936]","[-0.0028866959131318565, 0.04556594052295065, 7.440068298559444]",-33.26390305942125,-29.27094486725651
58_E6_C5_00_FE_C8,855,"[0.5824784557594428, 0.16545510829310506, -38.270913415902335]","[-0.0029927656710501994, 0.041953624728223206, 7.523420893036032]",-33.55122601516793,-29.734300714021593
58_E6_C5_00_FE_C8,865,"[0.5619727830140852, 0.18817255838962021, -38.320060230598685]","[-0.0030220510743695556, 0.04338215565976976, 7.64778871653687]",-33.689231921623204,-29.97868333592391
58_E6_C5_00_FE_C8,875,"[0.5181573103980505, 0.4315102107818891, -38.60850941916237]","[-0.0030084552723026975, 0.04858145201541696, 7.791299834734338]",-33.6400328727313,-29.96572283218116
58_E6_C5_00_FE_C8,885,"[0.45541477918302464, 0.8824165582606756, -39.15105743453248]","[-0.002899453738447218, 0.059089590217013585, 7.951912600772333]",-33.42162846773408,-29.698721487232078
58_E6_C5_00_FE_C8,895,"[0.3912763793601213, 1.4004410417459605, -39.74455330456771]","[-0.00270425616719764, 0.07290594637253, 8.094266540075251]",-33.08264928822792,-29.254072029024698
58_E6_C5_00_FE_C8,905,"[0.3357623813694966, 1.8981655196224259, -40.290365955911405]","[-0.002445981224761558, 0.08771144543587361, 8.191908776041588]",-32.6877129639202,-28.71926421771746
58_E6_C5_00_FE_C8,915,"[0.2940348296158773, 2.306174392013446, -40.65632543821558]","[-0.002203105135736104, 0.100205295610847, 8.228550479819008]",-32.2547744357519,-28.147949652031713
58_E6_C5_00_FE_C8,925,"[0.2671452259444519, 2.6000431785408544, -40.8466032775]","[-0.0020183429477836005, 0.10874010334718459, 8.210564416533122]",-31.846436722220815,-27.620090161766868
58_E6_C5_00_FE_C8,935,"[0.24815318741078463, 2.8367016499662223, -41.0199400873087]","[-0.0018546231427810779, 0.11514765338706756, 8.170953393798019]",-31.518169307136503,-27.17886286131185
58_E6_C5_00_FE_C8,945,"[0.2378163447776823, 2.9931094970616163, -41.066564054743864]","[-0.0017537418767901735, 0.11858599639643451, 8.109302748358115]",-31.217038579247628,-26.78917914924051
58_E6_C5_00_FE_C8,955,"[0.23083331424253492, 3.12035870916976, -41.0955249188113]","[-0.0016708242061805004, 0.12097078939624839, 8.043124261164058]",-30.952612493937778,-26.4437569129784
58_E6_C5_00_FE_C8,965,"[0.22920308432854844, 3.1913745899680146, -41.00761038948084]","[-0.0016349863785362418, 0.12158103184748158, 7.9673663619819335]",-30.68433874391608,-26.116057254238257
58_E6_C5_00_FE_C8,975,"[0.2285976752981119, 3.242734432220259, -40.88621333394509]","[-0.0016131047341892176, 0.12187596061628492, 7.898803638635287]",-30.42829644609442,-25.813438236003307
58_E6_C5_00_FE_C8,985,"[0.23554845539399444, 3.2181058301313006, -40.625638353056324]","[-0.0016557441914017848, 0.11975867938278843, 7.8185235753308495]",-30.183443160737127,-25.549130154123084
58_E6_C5_00_FE_C8,995,"[0.24145345263543128, 3.1867294482934567, -40.311663599104975]","[-0.001706995219171414, 0.11791631892884383, 7.74801797056928]",-29.911132714721205,-25.270544882258516
58_E6_C5_01_12_50,705,"[0.22933044695406196, 3.610063224934039, -36.45448616747638]","[-0.001754357005582382, 0.12133524007333132, 6.826691462713145]",-24.996450661407206,-20.016707999873063
58_E6_C5_01_12_50,715,"[0.24665967123837018, 3.5235084303430906, -37.04835957124008]","[-0.00180113192861461, 0.11603771148664738, 6.866356839671697]",-25.697634305805163,-20.69405844077125
58_E6_C5_01_12_50,725,"[0.2683173822858175, 3.4008494218452734, -37.57052809117643]","[-0.0018731642238031334, 0.10978702308769238, 6.894468465063889]",-26.393141977072727,-21.373986771657652
58_E6_C5_01_12_50,735,"[0.2910730686643427, 3.2656399571436925, -38.0638909970135]","[-0.001931619789523523, 0.10403582242823416, 6.923846250893121]",-27.08577925818889,-22.056465545038712
58_E6_C5_01_12_50,745,"[0.3141869608284175, 3.1143483048097935, -38.51748208389805]","[-0.001986256793153877, 0.09863994404617325, 6.958945070339309]",-27.77956917681945,-22.753623346983737
58_E6_C5_01_12_50,755,"[0.33593412098803827, 2.954249956812574, -38.92828642390945]","[-0.002037672080391713, 0.09374663361891272, 7.003216691867878]",-28.464444300747946,-23.459079499742487
